Entry;Country;Site_Name;Sample_Id;Biome 1;Biome 2;Region;Valley, locality, closest town, political jurisdiction;Latitude (WGS 84);Longitude (WGS 84);Altitude (masl);Exact_coordinates?;Site location_radius (km);Ref_coordinates;Archaeological_site_description;Archaeological_site_function;Archeological_Culture;Relative_chronology (Period/phase) ;Relative_date_from;Relative_date_to;Age_System_Relative;Absolute_chronology_method;Radiocarbon_Lab_Code;Conventional 14C_date (BP);Error (±1σ);Calibrated/modelled 14C (95%)_from;Calibrated/modelled 14C (95%)_to;Age_System_Absolute;Material_dated;Lab_Id;Type_source;Taxon/local name;Genus/Species;Phostosynthetic_Pathway;Plant_domesticate;Sample_type;wt%C;wt%N;C:N;δ13C;δ15N;δ34S;δ18O;87Sr/86Sr;Other_isotope_or analytical value;Description_ of_ other_isotope_or_analytical_value;Extra_information;Description_of_extra_information;Additional_info_source;Preservation_criteria ;Comments;Original_Reference;Original_Full_Reference;Compilation_Reference;Compilation_Full_Reference;Link_ to_source;Link_to_source_2;;;;;;;;;;;;;;;;;
2349;Peru;Huaca La Cruz;177-1;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North Coast of Peru;Lower Viru Valley, La Libertad department;-8.4328;-78.77836;57;Exact;;https://sigda.cultura.gob.pe/;;;;Early Intermediate Period;400;;BCE/CE;;;;;;;;;177-1;Terrestrial flora;Guava;Psidium guajava;C3;Yes;Fruit;;;24.8;-24.3;14.8;;;;;;Prehistoric uncarbonized plant;;177-1;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2350;Peru;Pachacamac;194-1;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;Complex;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;194-1;Terrestrial flora;Guava;Psidium guajava;C3;Yes;Fruit;;;22.3;-26.7;20.5;;;;;;Prehistoric uncarbonized plant;;194-1;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2351;Peru;Pachacamac;194-2;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;Complex;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;194-2;Terrestrial flora;Guava;Psidium guajava;C3;Yes;Husk;;;30.3;-26.4;22.1;;;;;;Prehistoric uncarbonized plant;;194-2;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2352;Peru;Huaca La Cruz;177-2;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North Coast of Peru;Lower Viru Valley, La Libertad department;-8.4328;-78.77836;57;Exact;;https://sigda.cultura.gob.pe/;;;;Early Intermediate Period;400;;BCE/CE;;;;;;;;;177-2;Terrestrial flora;Guava;Psidium guajava;C3;Yes;Seed;;;40.1;-23.8;13.8;;;;;;Prehistoric uncarbonized plant;;177-2;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2353;Peru;Pachacamac;193;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;Complex;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;193;Terrestrial flora;Oca;Oxalis tuberosa;C3;Yes;Tuber;;;62.9;-22.1;17.4;;;;;;Prehistoric uncarbonized plant;;193;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2354;Peru;Pachacamac;196;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;Complex;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;196;Terrestrial flora;Grass;Calamagrostis sp.;C3;No;Stem;;;38.6;-21.5;8.8;;;;;;Prehistoric uncarbonized plant;;196;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2355;Peru;Huaca La Cruz;190;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North Coast of Peru;Lower Viru Valley, La Libertad department;-8.4328;-78.77836;57;Exact;;https://sigda.cultura.gob.pe/;;;;Early Intermediate Period;400;;BCE/CE;;;;;;;;;190;Terrestrial flora;Caña brava;Gynerium sagittatum;C3;No;Leaf;;;24.3;-25.4;15.3;;;;;;Prehistoric uncarbonized plant;;190;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2356;Peru;Áspero;169;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North-Central Coast of Peru;Lower Valley of Supe, Puerto Supe, Lima department;-10.815322;-77.741021;24;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture + Domestic architecture;Complex;;Early Formative;-2000;;BCE/CE;;;;;;;;;169;Terrestrial flora;Reed plant;Phragmites communis;C3;No;Leaf;;;78.5;-25.7;30.8;;;;;;Prehistoric uncarbonized plant;;169;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2357;Peru;Áspero;169g;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North-Central Coast of Peru;Lower Valley of Supe, Puerto Supe, Lima department;-10.815322;-77.741021;24;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture + Domestic architecture;Complex;;Early Formative;-2000;;BCE/CE;;;;;;;;;169g;Terrestrial flora;Reed plant;Phragmites communis;C3;No;Leaf;;;213.7;-24.7;24.9;;;;;;Prehistoric uncarbonized plant;;169g;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2358;Peru;Áspero;169gh;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North-Central Coast of Peru;Lower Valley of Supe, Puerto Supe, Lima department;-10.815322;-77.741021;24;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture + Domestic architecture;Complex;;Early Formative;-2000;;BCE/CE;;;;;;;;;169gh;Terrestrial flora;Reed plant;Phragmites communis;C3;No;Leaf;;;420.9;-25.9;25.0;;;;;;Prehistoric uncarbonized plant;;169gh;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2359;Peru;Áspero;169ghi;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North-Central Coast of Peru;Lower Valley of Supe, Puerto Supe, Lima department;-10.815322;-77.741021;24;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture + Domestic architecture;Complex;;Early Formative;-2000;;BCE/CE;;;;;;;;;169ghi;Terrestrial flora;Reed plant;Phragmites communis;C3;No;Leaf;;;378.6;-25.3;21.9;;;;;;Prehistoric uncarbonized plant;;169ghi;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2360;Peru;PV 28 - 156;93;Montane grasslands and shrublands;Andes, Intermontane valley;Noth-Central highlands of Peru;Santa Valley, Ancash department;-9.527895;-77.528061;3064;Approximate;100;Google Earth;;;;Early Intermediate Period;500;;BCE/CE;;;;;;;;;93;Terrestrial flora;Maize;Zea mays;C4;Yes;Cob;;;36.0;-9.8;14.6;;;;;;Prehistoric uncarbonized plant;;93;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2361;Peru;Tomaval;183;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;North Coast of Peru;Upper Virú Valley, Castillo Tomaval, La Libertad department;-8.311897;-78.737635;122;Exact;;Google Earth;Fortress + Domestic architecture;Complex;;Early Intermediate Period;100;;BCE/CE;;;;;;;;;183;Terrestrial flora;Maize;Zea mays;C4;Yes;Cob;;;24.1;-10.2;21.3;;;;;;Prehistoric uncarbonized plant;;183;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2362;Peru;Pachacamac;220;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;220;Terrestrial flora;Maize;Zea mays;C4;Yes;Cob;;;47.3;-12.8;22.0;;;;;;Prehistoric uncarbonized plant;;220;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2363;Peru;Pachacamac;216;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;216;Terrestrial flora;Maize;Zea mays;C4;Yes;Cob;;;72.6;-13.9;19.4;;;;;;Prehistoric uncarbonized plant;;216;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2364;Peru;Pachacamac;203-3;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;203-3;Terrestrial flora;Maize;Zea mays;C4;Yes;Cob;;;48.1;-15.1;26.8;;;;;;Prehistoric uncarbonized plant;;203-3;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2365;Peru;Pachacamac;203-3g;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;203-3g;Terrestrial flora;Maize;Zea mays;C4;Yes;Cob;;;103.9;-10.5;20.2;;;;;;Prehistoric uncarbonized plant;;203-3g;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
2366;Peru;Pachacamac;203-3gh;Desert and xeric shrublands;Pacific Coastal Desert, Chala region;Central Coast of Peru;Lower Lurin Valley, Lurin, Lima department;-12.258;-76.9004;27;Exact;;https://sigda.cultura.gob.pe/;Monumental architecture;;;Late Intermediate Period/Late Horizon;1480;;BCE/CE;;;;;;;;;203-3gh;Terrestrial flora;Maize;Zea mays;C4;Yes;Cob;;;126.2;-10.3;19.0;;;;;;Prehistoric uncarbonized plant;;203-3gh;1;"The study includes isotope values of modern and prehistoric plants. The letters after the numbers indicate the treatment received by the plant. Several types of treatments were performed: b, boiling; c, roasting over charcoal; d, anaerobic carbonization; e, aerobic carbonization; f, ashing; g. removal of carbonates and fulvic and humie acids; h, removal of exchangeable ammonium: I. removal of organics and inorpanics bound by silicates; and j, incubation in a soil microbial bath. ";DeNiro and Hastorf (1985);DeNiro, M. J., & Hastorf, C. A. (1985). Alteration of 15N/14N and 13C/12C Ratios of Plant Matter During the Initial Stages of Dagenesis: Studies Utilizing Archaeological Specimens from Peru. Geochimica et Cosmochimica Acta, 49(1), 97–115.;"Cadwallader et al. (2012); Washburn et al. (2020)";Cadwallader, L., Beresford-Jones, D.G., Whaley, O.Q., & O’Connell, T.C.  (2012). The Signs of Maize? A Reconsideration of What δ13C Values Say about Palaeodiet in the Andean Region. Human Ecology, 40,487–509.;https://doi.org/10.1016/0016-7037(85)90194-2;https://www.sciencedirect.com/science/article/abs/pii/0016703785901942;;;;;;;;;;;;;;;;;
